fecha,servicio,tienda,ventas
8/28/2020,Pro,tienda_A,23127
5/18/2021,Pro,tienda_A,28540
5/19/2020,Pro,tienda_A,23922
2/9/2021,Pro,tienda_A,26141
8/8/2020,Pro,tienda_A,4488
8/22/2020,Pro,tienda_A,4268
3/3/2021,Pro,tienda_A,28579
11/2/2020,Pro,tienda_A,29095
8/31/2020,Pro,tienda_A,27731
2/16/2020,Pro,tienda_A,4092
4/23/2020,Pro,tienda_A,19894
2/14/2021,Pro,tienda_A,3458
4/4/2021,Pro,tienda_A,3143
3/8/2021,Pro,tienda_A,28865
11/11/2020,Pro,tienda_A,26424
2/27/2021,Pro,tienda_A,4003
3/9/2020,Pro,tienda_A,25960
5/19/2021,Pro,tienda_A,26479
6/18/2021,Pro,tienda_A,23521
1/12/2021,Pro,tienda_A,29431
3/29/2020,Pro,tienda_A,3269
6/12/2021,Pro,tienda_A,4090
8/2/2020,Pro,tienda_A,3474
5/3/2021,Pro,tienda_A,18814
5/12/2020,Pro,tienda_A,24268
2/16/2021,Pro,tienda_A,23001
4/19/2021,Pro,tienda_A,29153
4/2/2020,Pro,tienda_A,17995
5/28/2020,Pro,tienda_A,22939
7/12/2020,Pro,tienda_A,3877
4/25/2021,Pro,tienda_A,6625
2/20/2021,Pro,tienda_A,5781
8/25/2020,Pro,tienda_A,28324
6/19/2020,Pro,tienda_A,22823
5/30/2021,Pro,tienda_A,3728
2/25/2021,Pro,tienda_A,26008
6/14/2020,Pro,tienda_A,3944
3/25/2020,Pro,tienda_A,17481
5/9/2020,Pro,tienda_A,5439
6/23/2020,Pro,tienda_A,28692
3/30/2021,Pro,tienda_A,26615
12/19/2020,Pro,tienda_A,4147
3/26/2020,Pro,tienda_A,18093
5/21/2020,Pro,tienda_A,21094
9/15/2020,Pro,tienda_A,29477
3/13/2020,Pro,tienda_A,20150
3/23/2020,Pro,tienda_A,20680
5/6/2021,Pro,tienda_A,26631
6/6/2021,Pro,tienda_A,4143
7/4/2020,Pro,tienda_A,3930
3/17/2021,Pro,tienda_A,27169
3/16/2021,Pro,tienda_A,29444
4/8/2020,Pro,tienda_A,17352
9/24/2020,Pro,tienda_A,27286
2/6/2020,Pro,tienda_A,22148
3/11/2021,Pro,tienda_A,26781
6/3/2021,Pro,tienda_A,23760
12/16/2020,Pro,tienda_A,27400
1/30/2021,Pro,tienda_A,4058
5/1/2020,Pro,tienda_A,8363
6/7/2021,Pro,tienda_A,28543
4/15/2020,Pro,tienda_A,18492
5/15/2020,Pro,tienda_A,19823
3/20/2020,Pro,tienda_A,16100
6/12/2020,Pro,tienda_A,22442
1/10/2021,Pro,tienda_A,4239
8/30/2020,Pro,tienda_A,4185
5/20/2021,Pro,tienda_A,27041
1/7/2021,Pro,tienda_A,26740
2/27/2020,Pro,tienda_A,23629
5/18/2020,Pro,tienda_A,25585
12/6/2020,Pro,tienda_A,4266
1/20/2021,Pro,tienda_A,27897
6/22/2021,Pro,tienda_A,29097
9/26/2020,Pro,tienda_A,4645
9/21/2020,Pro,tienda_A,28945
12/2/2020,Pro,tienda_A,27317
9/9/2020,Pro,tienda_A,29355
7/3/2020,Pro,tienda_A,21108
6/23/2021,Pro,tienda_A,27547
8/19/2020,Pro,tienda_A,26988
7/14/2020,Pro,tienda_A,27864
1/9/2021,Pro,tienda_A,4201
4/18/2020,Pro,tienda_A,3593
4/22/2021,Pro,tienda_A,25814
2/2/2020,Pro,tienda_A,3488
9/23/2020,Pro,tienda_A,28554
1/22/2021,Pro,tienda_A,24102
8/4/2020,Pro,tienda_A,27739
4/13/2021,Pro,tienda_A,26398
5/11/2021,Pro,tienda_A,26857
6/3/2020,Pro,tienda_A,25125
7/30/2020,Pro,tienda_A,25407
4/30/2021,Pro,tienda_A,19527
4/4/2020,Pro,tienda_A,3192
3/21/2020,Pro,tienda_A,3628
4/7/2020,Pro,tienda_A,18821
6/4/2021,Pro,tienda_A,21462
7/19/2020,Pro,tienda_A,4064
9/2/2020,Pro,tienda_A,28338
2/7/2021,Pro,tienda_A,5494
3/2/2020,Pro,tienda_A,24829
11/5/2020,Pro,tienda_A,27266
8/16/2020,Pro,tienda_A,4327
11/27/2020,Pro,tienda_A,19784
9/20/2020,Pro,tienda_A,3191
5/12/2021,Pro,tienda_A,24703
2/9/2020,Pro,tienda_A,3637
3/14/2020,Pro,tienda_A,3900
9/4/2020,Pro,tienda_A,23447
3/2/2021,Pro,tienda_A,29405
3/15/2020,Pro,tienda_A,3786
4/16/2021,Pro,tienda_A,22861
5/14/2021,Pro,tienda_A,20010
3/19/2020,Pro,tienda_A,19848
8/6/2020,Pro,tienda_A,26405
11/26/2020,Pro,tienda_A,22103
3/7/2021,Pro,tienda_A,4279
4/27/2020,Pro,tienda_A,22166
6/25/2020,Pro,tienda_A,23293
6/24/2021,Pro,tienda_A,23421
12/31/2020,Pro,tienda_A,11822
1/31/2021,Pro,tienda_A,4179
3/28/2020,Pro,tienda_A,3376
12/22/2020,Pro,tienda_A,25254
8/21/2020,Pro,tienda_A,22667
1/23/2021,Pro,tienda_A,4310
5/23/2021,Pro,tienda_A,4656
1/18/2021,Pro,tienda_A,28631
5/2/2020,Pro,tienda_A,2935
6/15/2021,Pro,tienda_A,29530
5/10/2021,Pro,tienda_A,27642
12/7/2020,Pro,tienda_A,28902
6/1/2021,Pro,tienda_A,26006
4/9/2021,Pro,tienda_A,22113
6/20/2021,Pro,tienda_A,3823
12/9/2020,Pro,tienda_A,28202
6/21/2020,Pro,tienda_A,4133
7/8/2020,Pro,tienda_A,27906
4/17/2021,Pro,tienda_A,4041
5/24/2020,Pro,tienda_A,3272
7/31/2020,Pro,tienda_A,20531
5/28/2021,Pro,tienda_A,21981
5/22/2021,Pro,tienda_A,3977
9/1/2020,Pro,tienda_A,28048
12/5/2020,Pro,tienda_A,4064
7/29/2020,Pro,tienda_A,26981
6/2/2021,Pro,tienda_A,25286
6/8/2020,Pro,tienda_A,26719
2/26/2021,Pro,tienda_A,22613
3/6/2020,Pro,tienda_A,21748
3/21/2021,Pro,tienda_A,3957
12/28/2020,Pro,tienda_A,22082
8/15/2020,Pro,tienda_A,4000
4/1/2021,Pro,tienda_A,22883
8/3/2020,Pro,tienda_A,27259
6/25/2021,Pro,tienda_A,33
9/6/2020,Pro,tienda_A,4139
5/22/2020,Pro,tienda_A,19247
2/18/2021,Pro,tienda_A,25589
7/22/2020,Pro,tienda_A,27923
2/29/2020,Pro,tienda_A,3567
1/19/2021,Pro,tienda_A,29306
6/27/2020,Pro,tienda_A,4187
5/17/2021,Pro,tienda_A,28250
4/15/2021,Pro,tienda_A,25060
3/24/2021,Pro,tienda_A,27199
2/18/2020,Pro,tienda_A,25696
11/12/2020,Pro,tienda_A,27466
1/3/2021,Pro,tienda_A,3743
4/14/2021,Pro,tienda_A,25159
2/28/2020,Pro,tienda_A,20037
6/13/2020,Pro,tienda_A,4200
3/1/2021,Pro,tienda_A,29055
7/21/2020,Pro,tienda_A,29142
12/30/2020,Pro,tienda_A,17044
8/24/2020,Pro,tienda_A,29815
12/3/2020,Pro,tienda_A,26774
6/28/2020,Pro,tienda_A,7274
8/1/2020,Pro,tienda_A,4141
3/8/2020,Pro,tienda_A,3709
6/17/2020,Pro,tienda_A,26091
2/25/2020,Pro,tienda_A,25000
3/9/2021,Pro,tienda_A,29190
12/12/2020,Pro,tienda_A,4032
4/12/2020,Pro,tienda_A,3210
7/2/2020,Pro,tienda_A,26417
4/30/2020,Pro,tienda_A,18281
5/4/2020,Pro,tienda_A,18867
4/3/2020,Pro,tienda_A,15891
10/31/2020,Pro,tienda_A,3881
9/16/2020,Pro,tienda_A,28558
2/2/2021,Pro,tienda_A,28320
2/21/2020,Pro,tienda_A,19603
3/19/2021,Pro,tienda_A,23729
3/31/2020,Pro,tienda_A,18829
7/10/2020,Pro,tienda_A,23867
2/13/2021,Pro,tienda_A,3084
