MediaCode,name_medium,code_break,break_date,beginbreak_theoretical,type_break,format_break,class_break,type_sport,name_target,grp_ForecastPro_Estimate,grp_LIVE7,program_before,program_before_type1,program_before_type2,program_after,program_after_type1,program_after_type2,break_duration
TV,UNE,MZ4,20220628,14:49:17,Off prime,Ecran billboard,bb,_N/A,35-54 GS 1-4,1.275743,null,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,10
TV,UNE,SO10,20210117,26:06:11,Off prime,Ecran normal,normal,_N/A,FEM 18-54 GS 1-4,0.116355,0.000000,Une brique dans le ventre,DIVERTISSEMENT,MAGAZINE,BOUCLE,AUTRES,BOUCLE,240
TV,UNE,MI1,20240121,12:04:00,Off prime,Ecran normal,normal,_N/A,15+ GS 1-4,0.540000,1.050000,L'AGENDA CINE,DIVERTISSEMENT,MAGAZINE,Super Nanas,DIVERTISSEMENT,DIVERTISSEMENT,180
TV,UNE,SOA,20240310,21:09:43,Prime,Ecran normal,inner,_N/A,FEM 18-44,1.299539,0.530000,Vigil,FICTION,SERIE,Vigil,FICTION,SERIE,180
TV,UNE,MZ3,20221214,14:06:40,Off prime,Ecran billboard,bb,_N/A,4-14,0.250000,null,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,10
TV,UNE,SO2,20230625,22:13:55,Prime,Ecran normal,normal,_N/A,FEM 18-54,0.900000,0.360000,Peur sur le lac,FICTION,SERIE,PROMOTION DE LA CHAINE,AUTRES,SEQUENCE,210
TV,UNE,NW1,20230814,20:01:15,Prime,Ecran normal,normal,_N/A,18-44,2.242336,1.950000,WALLONIE EN FAMILLE,AUTRES,SEQUENCE,L'AGENDA CINE,DIVERTISSEMENT,MAGAZINE,240
TV,UNE,MA4,20220905,11:52:00,Off prime,Ecran normal,normal,_N/A,PRA 18-34,0.490909,0.110000,DEMAIN NOUS APPARTIENT,FICTION,SERIE,AIR DE FAMILLES,AUTRES,SEQUENCE,150
TV,UNE,SOC,20210308,22:55:38,Off prime,Ecran normal,inner,_N/A,15-34,0.787269,0.500000,Baby phone,FICTION,FILM,Baby phone,FICTION,FILM,180
TV,UNE,FI26,20210505,18:25:59,Off prime,Ecran billboard,bb,_N/A,HOM 15+,2.313721,null,DEMAIN NOUS APPARTIENT,FICTION,SERIE,DEMAIN NOUS APPARTIENT,FICTION,SERIE,10
TV,UNE,NW2,20210122,20:15:00,Prime,Ecran normal,normal,_N/A,HOM 18-54,3.250612,1.810000,SEQUENCE,AUTRES,SEQUENCE,METEO,INFORMATION,METEO,135
TV,UNE,MA4,20230614,11:52:00,Off prime,Ecran normal,normal,_N/A,18-64,0.537662,0.810000,DEMAIN NOUS APPARTIENT,FICTION,SERIE,AIR DE FAMILLES,AUTRES,SEQUENCE,150
TV,UNE,DC3,20210217,22:36:42,Off prime,Ecran billboard,bb,_N/A,18-54,2.010200,null,Itinéraire d'un enfant placé,DIVERTISSEMENT,DOCUMENTAIRE,Itinéraire d'un enfant placé,DIVERTISSEMENT,DOCUMENTAIRE,10
TV,UNE,MZ4,20220628,14:49:17,Off prime,Ecran billboard,bb,_N/A,55+,6.872297,null,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,10
TV,UNE,SO10,20210117,26:06:11,Off prime,Ecran normal,normal,_N/A,PRA 25-54,0.209433,0.250000,Une brique dans le ventre,DIVERTISSEMENT,MAGAZINE,BOUCLE,AUTRES,BOUCLE,240
TV,UNE,SOA,20240310,21:09:43,Prime,Ecran normal,inner,_N/A,PRA AVEC ENFANT,1.456221,0.770000,Vigil,FICTION,SERIE,Vigil,FICTION,SERIE,180
TV,UNE,MZ3,20221214,14:06:40,Off prime,Ecran billboard,bb,_N/A,PRA 18-34,0.757143,null,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,10
TV,UNE,SO2,20230625,22:13:55,Prime,Ecran normal,normal,_N/A,HOM 18-44,0.541837,0.570000,Peur sur le lac,FICTION,SERIE,PROMOTION DE LA CHAINE,AUTRES,SEQUENCE,210
TV,UNE,NW1,20230814,20:01:15,Prime,Ecran normal,normal,_N/A,PRA 18-44,2.417518,1.440000,WALLONIE EN FAMILLE,AUTRES,SEQUENCE,L'AGENDA CINE,DIVERTISSEMENT,MAGAZINE,240
TV,UNE,MA4,20220905,11:52:00,Off prime,Ecran normal,normal,_N/A,PRA 25-54,0.600000,1.100000,DEMAIN NOUS APPARTIENT,FICTION,SERIE,AIR DE FAMILLES,AUTRES,SEQUENCE,150
TV,UNE,SOC,20210308,22:55:38,Off prime,Ecran normal,inner,_N/A,4-14,0.510709,0.000000,Baby phone,FICTION,FILM,Baby phone,FICTION,FILM,180
