date,income
6/10/2017,168023
6/11/2017,43818
6/12/2017,43664
6/13/2017,330801
6/14/2017,82886
6/15/2017,63572
6/16/2017,45710
6/17/2017,31851
6/18/2017,30634
6/19/2017,29539
6/20/2017,29289
6/21/2017,27347
6/22/2017,22671
6/23/2017,28384
6/24/2017,18512
6/25/2017,17159
6/26/2017,19696
6/27/2017,21604
6/28/2017,18243
6/29/2017,15600
6/30/2017,13651
7/1/2017,18676
7/2/2017,15892
7/3/2017,15774
7/4/2017,16667
7/5/2017,17003
7/6/2017,16381
7/7/2017,14854
7/8/2017,14572
7/9/2017,14550
7/10/2017,12659
7/11/2017,12462
7/12/2017,11248
7/13/2017,13257
7/14/2017,14331
7/15/2017,10920
7/16/2017,11004
7/17/2017,11325
7/18/2017,11734
7/19/2017,12736
7/20/2017,12575
7/21/2017,16057
7/22/2017,18411
7/23/2017,13833
7/24/2017,16071
7/25/2017,19726
7/26/2017,14195
7/27/2017,12552
7/28/2017,12296
7/29/2017,11369
7/30/2017,10800
7/31/2017,11975
8/1/2017,11731
8/2/2017,13731
8/3/2017,13298
8/4/2017,12304
8/5/2017,10411
8/6/2017,9203
8/7/2017,9791
8/8/2017,9517
8/9/2017,9672
8/10/2017,10322
8/11/2017,9274
8/12/2017,8527
8/13/2017,8871
8/14/2017,9208
8/15/2017,9428
8/16/2017,11946
8/17/2017,11831
8/18/2017,10588
8/19/2017,8526
8/20/2017,8937
8/21/2017,9405
8/22/2017,10730
8/23/2017,25443
8/24/2017,14995
8/25/2017,12020
8/26/2017,11146
8/27/2017,13533
8/28/2017,9909
8/29/2017,9419
8/30/2017,9785
8/31/2017,10447
9/1/2017,9347
9/2/2017,10436
9/3/2017,10606
9/4/2017,9314
9/5/2017,9834
9/6/2017,8135
9/7/2017,8821
9/8/2017,9131
9/9/2017,9228
9/10/2017,8630
9/11/2017,8408
9/12/2017,8974
9/13/2017,10369
9/14/2017,11580
9/15/2017,12865
9/16/2017,12096
9/17/2017,10511
9/18/2017,10473
9/19/2017,10184
9/20/2017,9780
9/21/2017,10134
9/22/2017,9403
9/23/2017,15613
9/24/2017,19425
9/25/2017,22062
9/26/2017,28529
9/27/2017,31932
9/28/2017,23371
9/29/2017,17070
9/30/2017,14300
10/1/2017,12005
10/2/2017,10766
10/3/2017,11902
10/4/2017,11718
10/5/2017,12315
10/6/2017,11600
10/7/2017,11520
10/8/2017,10069
10/9/2017,10146
10/10/2017,10474
10/11/2017,14726
10/12/2017,11837
10/13/2017,11491
10/14/2017,10655
10/15/2017,10287
10/16/2017,13282
10/17/2017,29538
10/18/2017,45266
10/19/2017,20971
10/20/2017,18936
10/21/2017,20589
10/22/2017,15266
10/23/2017,14723
10/24/2017,19692
10/25/2017,23723
10/26/2017,21920
10/27/2017,14977
10/28/2017,12087
10/29/2017,14631
10/30/2017,14057
10/31/2017,12987
11/1/2017,13019
11/2/2017,15438
11/3/2017,14649
11/4/2017,44190
11/5/2017,18272
11/6/2017,16347
11/7/2017,17024
11/8/2017,20296
11/9/2017,17435
11/10/2017,20247
11/11/2017,13985
11/12/2017,18022
11/13/2017,15225
11/14/2017,22928
11/15/2017,16653
11/16/2017,25249
11/17/2017,17842
11/18/2017,21746
11/19/2017,14693
11/20/2017,13898
11/21/2017,15836
11/22/2017,13614
11/23/2017,17122
11/24/2017,12167
11/25/2017,17880
11/26/2017,13787
11/27/2017,14190
11/28/2017,20703
11/29/2017,24067
11/30/2017,17072
12/1/2017,20878
12/2/2017,14673
12/3/2017,18667
12/4/2017,14773
12/5/2017,16854
12/6/2017,14871
12/7/2017,24042
12/8/2017,17314
12/9/2017,16734
12/10/2017,17117
12/11/2017,15200
12/12/2017,15136
12/13/2017,20753
12/14/2017,19259
12/15/2017,29080
12/16/2017,17706
12/17/2017,23827
12/18/2017,24202
12/19/2017,26718
12/20/2017,21935
12/21/2017,17091
12/22/2017,20678
12/23/2017,17345
12/24/2017,13866
12/25/2017,41805
12/26/2017,23275
12/27/2017,15911
12/28/2017,18505
12/29/2017,18106
12/30/2017,48771
12/31/2017,36222
1/1/2018,16954
1/2/2018,16293
1/3/2018,18741
1/4/2018,24061
1/5/2018,15162
1/6/2018,13819
1/7/2018,15740
1/8/2018,13163
1/9/2018,15842
1/10/2018,13717
1/11/2018,26330
1/12/2018,24999
1/13/2018,18579
1/14/2018,14264
1/15/2018,13541
1/16/2018,30804
1/17/2018,15700
1/18/2018,17102
1/19/2018,22905
1/20/2018,26486
1/21/2018,23918
1/22/2018,15197
1/23/2018,21347
1/24/2018,65484
1/25/2018,28012
1/26/2018,23310
1/27/2018,19810
1/28/2018,22233
1/29/2018,17043
1/30/2018,17684
1/31/2018,18991
2/1/2018,28039
2/2/2018,22859
2/3/2018,18083
2/4/2018,24355
2/5/2018,17722
2/6/2018,19677
2/7/2018,20590
2/8/2018,40199
2/9/2018,33886
2/10/2018,26906
2/11/2018,31000
2/12/2018,26434
2/13/2018,20798
2/14/2018,26185
2/15/2018,20128
2/16/2018,25039
2/17/2018,25569
2/18/2018,31060
2/19/2018,99426
2/20/2018,34656
2/21/2018,23762
2/22/2018,21789
2/23/2018,22394
2/24/2018,19925
2/25/2018,26270
2/26/2018,22789
2/27/2018,19739
2/28/2018,34278
3/1/2018,24474
3/2/2018,27858
3/3/2018,17687
3/4/2018,19147
3/5/2018,21095
3/6/2018,19591
3/7/2018,18814
3/8/2018,26513
3/9/2018,20775
3/10/2018,18186
3/11/2018,18061
3/12/2018,26571
3/13/2018,19096
3/14/2018,22002
3/15/2018,17496
3/16/2018,22632
3/17/2018,15245
3/18/2018,18548
3/19/2018,19594
3/20/2018,28085
3/21/2018,20012
3/22/2018,29508
3/23/2018,17857
3/24/2018,16881
3/25/2018,20195
3/26/2018,21944
3/27/2018,18454
3/28/2018,25268
3/29/2018,27408
3/30/2018,18711
3/31/2018,35096
4/1/2018,22687
4/2/2018,19889
4/3/2018,21200
4/4/2018,22098
4/5/2018,18804
4/6/2018,21632
4/7/2018,28423
4/8/2018,17955
4/9/2018,17795
4/10/2018,22730
4/11/2018,22004
4/12/2018,27672
4/13/2018,22228
4/14/2018,20405
4/15/2018,40686
4/16/2018,26620
4/17/2018,25726
4/18/2018,21018
4/19/2018,35613
4/20/2018,22937
4/21/2018,29915
4/22/2018,20812
4/23/2018,39234
4/24/2018,19783
4/25/2018,26033
4/26/2018,58754
4/27/2018,22102
4/28/2018,30915
4/29/2018,70024
4/30/2018,45577
5/1/2018,31318
5/2/2018,53167
5/3/2018,31383
5/4/2018,57264
5/5/2018,28143
5/6/2018,109442
5/7/2018,47791
5/8/2018,80028
5/9/2018,42707
5/10/2018,41219
5/11/2018,36298
5/12/2018,29846
5/13/2018,48511
5/14/2018,37339
5/15/2018,36458
5/16/2018,74500
5/17/2018,34441
5/18/2018,23541
5/19/2018,20175
5/20/2018,51270
5/21/2018,33125
